freshTime,positive_prob,confidence,negative_prob,sentiment
2020/3/2,0.00125901,0.997202,0.998741,0
2020/3/2,0.979502,0.95445,0.0204975,2
2020/3/2,0.733691,0.408201,0.266309,2
2020/3/2,0.993756,0.986125,0.00624394,2
2020/3/2,0.999184,0.998186,0.000816168,2
2020/3/2,0.91532,0.811822,0.08468,2
2020/3/2,0.363254,0.192769,0.636746,0
2020/3/2,0.927071,0.837936,0.072929,2
2020/3/2,0.391413,0.130194,0.608587,0
2020/3/2,0.977219,0.949375,0.0227814,2
2020/3/2,0.980799,0.957331,0.0192008,2
2020/3/2,0.68211,0.293578,0.31789,2
2020/3/2,0.996994,0.99332,0.00300597,2
2020/3/2,0.707832,0.350738,0.292168,2
2020/3/2,0.991314,0.980697,0.00868612,2
2020/3/2,0.946496,0.881103,0.0535035,2
2020/3/2,0.999944,0.999876,5.58E-05,2
2020/3/2,0.75654,0.458977,0.24346,2
2020/3/2,0.99409,0.986866,0.00591006,2
2020/3/2,0.994145,0.986988,0.00585538,2
2020/3/2,0.846225,0.658277,0.153775,2
2020/3/2,0.999924,0.99983,7.64E-05,2
2020/3/2,0.909579,0.799064,0.0904211,2
2020/3/2,0.58216,0.0714677,0.41784,2
2020/3/2,0.0109673,0.975628,0.989033,0
2020/3/2,4.91E-05,0.999891,0.999951,0
2020/3/2,0.6821,0.293555,0.3179,2
2020/3/2,0.907766,0.795036,0.092234,2
2020/3/2,0.921353,0.825228,0.0786475,2
2020/3/2,0.0485028,0.892216,0.951497,0
2020/3/2,0.436126,0.030831,0.563874,0
2020/3/2,0.868291,0.707314,0.131709,2
2020/3/2,0.791266,0.536146,0.208734,2
2020/3/2,0.0794462,0.823453,0.920554,0
2020/3/2,0.996585,0.99241,0.00341533,2
2020/3/2,0.999609,0.999131,0.000391115,2
2020/3/2,0.481714,0.634277,0.518286,1
2020/3/2,0.756835,0.459634,0.243165,2
2020/3/2,0.0112661,0.974964,0.988734,0
2020/3/2,0.269,0.402222,0.731,0
2020/3/2,0.614291,0.142868,0.385709,2
